text,text_label
I regret this show from start to finish.,Negative
Functional but very basic — meets expectations.,Neutral
It is acceptable for everyday use I suppose.,Neutral
Poorly made and utterly unreliable.,Negative
Outstanding build — exceeded all expectations.,Positive
I would not recommend this to anyone.,Negative
A beautiful and touching film that stayed with me.,Positive
Very poor design — not as described at all.,Negative
Terrible script and an incoherent narrative.,Negative
Hands down the most memorable movie I have seen this year.,Positive
I would highly recommend this to everyone I know.,Positive
A huge letdown — I expected so much more.,Negative
The album broke after two days of use.,Negative
A middle-of-the-road experience overall.,Neutral
Very poor craftsmanship — not as described at all.,Negative
Absolutely dreadful — one of the worst books ever.,Negative
A huge letdown — I expected so much more.,Negative
I would highly recommend this to everyone I know.,Positive
I would highly recommend this to everyone I know.,Positive
I would highly recommend this to everyone I know.,Positive
A complete waste of time and money.,Negative
Best course in its category without a doubt.,Positive
Poorly made and utterly unreliable.,Negative
I would highly recommend this to everyone I know.,Positive
The worst album I have experienced in years.,Negative
Remarkable build at a very fair price.,Positive
"It was okay, neither brilliant nor particularly frustrating.",Neutral
The worst film I have experienced in years.,Negative
A beautiful and touching show that stayed with me.,Positive
Functional but very basic — meets expectations.,Neutral
Nothing redeems this — a total disaster.,Negative
I would not recommend this to anyone.,Negative
Very poor quality — not as described at all.,Negative
I loved every moment of this wonderful book.,Positive
Incredible — my whole family absolutely loved it.,Positive
It is what it is — perfectly ordinary.,Neutral
Very poor design — not as described at all.,Negative
A truly beautiful experience from start to finish.,Positive
Not bad but not particularly impressive either.,Neutral
"Amazing value, fantastic quality, very happier with the purchase.",Positive
The worst course I have experienced in years.,Negative
A beautiful and touching film that stayed with me.,Positive
"It was okay, neither outstanding nor particularly predictable.",Neutral
It is what it is — perfectly ordinary.,Neutral
Incredible — my whole family absolutely loved it.,Positive
"Works superb, very impressed with the design.",Positive
Nothing redeems this — a total disaster.,Negative
This course was absolutely excellent and delightful!,Positive
I have no strong feelings either way about this.,Neutral
"Works outstanding, very impressed with the craftsmanship.",Positive
Remarkable quality at a very fair price.,Positive
The album broke after two days of use.,Negative
Functional but very basic — meets expectations.,Neutral
Best film in its category without a doubt.,Positive
It does the job but nothing to get excited about.,Neutral
Decent enough but nothing remarkable.,Neutral
Not bad but not particularly impressive either.,Neutral
The sound was terrible and the plot made no sense.,Negative
Hands down the greatest course I have used this year.,Positive
Average performance at a reasonable price.,Neutral
Simply spectacular — I could not be happier.,Positive
Absolutely dreadful — one of the worst products ever.,Negative
Incredible — my whole family absolutely loved it.,Positive
Hands down the most enjoyable book I have seen this year.,Positive
The book works as described — nothing more.,Neutral
Decent enough but nothing impressive.,Neutral
Five stars — every sound was perfectly crafted.,Positive
"Amazing value, amazing quality, very more satisfied with the purchase.",Positive
A truly beautiful experience from start to finish.,Positive
It does the job but nothing to get excited about.,Neutral
It is acceptable for everyday use I suppose.,Neutral
"Amazing value, wonderful quality, very more pleased with the purchase.",Positive
Outstanding performance — exceeded all hopes.,Positive
It is acceptable for everyday use I suppose.,Neutral
The worst movie I have experienced in years.,Negative
I loved every moment of this wonderful product.,Positive
Hands down the finest book I have watched this year.,Positive
A complete waste of time and money.,Negative
Does not work as advertised — very predictable.,Negative
"Complete junk, total waste of money.",Negative
Simply spectacular — I could not be more satisfied.,Positive
This film was absolutely wonderful and delightful!,Positive
"Complete junk, total waste of money.",Negative
"Complete junk, total waste of money.",Negative
Absolutely dreadful — one of the worst shows ever.,Negative
It is what it is — perfectly ordinary.,Neutral
A truly unforgettable experience from start to finish.,Positive
Not bad but not particularly impressive either.,Neutral
I would not recommend this to anyone.,Negative
I loved every moment of this brilliant service.,Positive
The product broke after two days of use.,Negative
The app was boring and painfully mediocre.,Negative
Incredible — my whole family absolutely loved it.,Positive
Does not work as advertised — very frustrating.,Negative
It is acceptable for everyday use I suppose.,Neutral
I loved every moment of this outstanding app.,Positive
Terrible design and an incoherent premise.,Negative
Incredible — my whole family absolutely loved it.,Positive
It is acceptable for everyday use I suppose.,Neutral
I have no strong feelings either way about this.,Neutral
"Amazing value, brilliant quality, very more delighted with the purchase.",Positive
It is what it is — perfectly ordinary.,Neutral
I regret this device from start to finish.,Negative
I loved every moment of this brilliant service.,Positive
Five stars — every plot was perfectly crafted.,Positive
A complete waste of time and money.,Negative
I regret this product from start to finish.,Negative
The worst product I have experienced in years.,Negative
Outstanding design — exceeded all hopes.,Positive
A beautiful and touching app that stayed with me.,Positive
The movie broke after two days of use.,Negative
I loved every moment of this brilliant album.,Positive
I loved every moment of this amazing device.,Positive
I would not recommend this to anyone.,Negative
"It was okay, neither brilliant nor particularly predictable.",Neutral
It does the job but nothing to get excited about.,Neutral
Best product in its category without a doubt.,Positive
Best product in its category without a doubt.,Positive
"Complete junk, total waste of money.",Negative
"Works superb, very impressed with the craftsmanship.",Positive
I would highly recommend this to everyone I know.,Positive
It does the job but nothing to get excited about.,Neutral
"It was okay, neither amazing nor particularly disappointing.",Neutral
A beautiful and touching app that stayed with me.,Positive
Decent enough but nothing memorable.,Neutral
Remarkable performance at a very fair price.,Positive
Nothing redeems this — a total disaster.,Negative
It is what it is — perfectly ordinary.,Neutral
A complete waste of time and money.,Negative
The acting was fantastic and deeply gripping.,Positive
Does not work as advertised — very forgettable.,Negative
Very poor performance — not as described at all.,Negative
Simply spectacular — I could not be happier.,Positive
I regret this device from start to finish.,Negative
The device was boring and painfully disappointing.,Negative
I would highly recommend this to everyone I know.,Positive
The script was outstanding and deeply beautiful.,Positive
I regret this film from start to finish.,Negative
A complete waste of time and money.,Negative
Five stars — every features was perfectly crafted.,Positive
Does not work as advertised — very predictable.,Negative
Remarkable performance at a very fair price.,Positive
